checkm_contamination,cgmlst_hc100,genome_id,genome_name,genome_quality,genome_length,contigs,species,genome_status,isolation_country,cgmlst_hc50,host_common_name,checkm_completeness,cgmlst_hc20,collection_year
0.0,24342,562.58721,Escherichia coli strain 14066715,Good,5436157,200,Escherichia coli,WGS,Italy,24513,Turkey,99.78,24513,2014.0
0.0,24503,562.58722,Escherichia coli strain 14067330,Good,5275875,163,Escherichia coli,WGS,Italy,24503,Turkey,99.78,24514,2014.0
0.0,131,562.58723,Escherichia coli strain 14069546,Good,5251512,176,Escherichia coli,WGS,Italy,24515,Turkey,99.78,24515,2014.0
0.11,7972,562.58724,Escherichia coli strain 15038100,Good,5049728,332,Escherichia coli,WGS,Italy,31770,Cow,99.78,31770,2015.0
0.0,341,562.58725,Escherichia coli strain 14091902,Good,5145383,128,Escherichia coli,WGS,Italy,24689,Turkey,99.78,24689,2014.0
0.11,177,562.58726,Escherichia coli strain 14085180,Good,4897892,102,Escherichia coli,WGS,Italy,24690,Turkey,99.78,24690,2014.0
0.11,24691,562.58727,Escherichia coli strain 14083136,Good,4864232,142,Escherichia coli,WGS,Italy,24691,Turkey,99.67,24691,2014.0
0.0,268,562.58728,Escherichia coli strain 14087995,Good,5127901,182,Escherichia coli,WGS,Italy,24692,Turkey,99.78,24692,2014.0
0.0,35,562.58729,Escherichia coli strain 14073256,Good,5172819,146,Escherichia coli,WGS,Italy,24693,Turkey,99.78,24693,2014.0
0.11,76,562.58731,Escherichia coli strain 14072934,Good,5346116,105,Escherichia coli,WGS,Italy,24695,Turkey,99.78,24695,2014.0
0.11,24380,562.58732,Escherichia coli strain 15051805,Good,5115630,110,Escherichia coli,WGS,Italy,31764,Cow,99.78,31764,2015.0
0.55,3652,562.58733,Escherichia coli strain 15050011,Good,5316596,377,Escherichia coli,WGS,Italy,31772,Cow,99.78,31772,2015.0
0.0,177,562.58734,Escherichia coli strain 15054212,Good,4896318,134,Escherichia coli,WGS,Italy,177,Cow,99.78,31773,2015.0
0.0,24696,562.58735,Escherichia coli strain 15056393,Good,5030299,153,Escherichia coli,WGS,Italy,24696,Pig,99.78,24696,2015.0
0.22,24697,562.58736,Escherichia coli strain 15062645,Good,5123556,147,Escherichia coli,WGS,Italy,24697,Pig,99.78,24697,2015.0
0.0,246,562.58737,Escherichia coli strain 15057173,Good,5033096,154,Escherichia coli,WGS,Italy,24698,Pig,99.78,24698,2015.0
0.99,31774,562.58738,Escherichia coli strain 15078696,Good,4560579,174,Escherichia coli,WGS,Italy,31774,Cow,99.78,31774,2015.0
0.11,31775,562.58739,Escherichia coli strain 15056874,Good,4872388,118,Escherichia coli,WGS,Italy,31775,Cow,99.78,31775,2015.0
0.22,24700,562.58741,Escherichia coli strain 101,Good,4963640,133,Escherichia coli,WGS,Norway,24700,Human,99.78,24700,2006.0
0.22,4650,562.58742,Escherichia coli strain 102,Good,4959023,155,Escherichia coli,WGS,Norway,24516,Human,99.78,24516,2005.0
0.0,24517,562.58743,Escherichia coli strain 103,Good,5308406,200,Escherichia coli,WGS,Norway,24517,Human,99.78,24517,2006.0
2.95,24517,562.58745,Escherichia coli strain 105,Good,5282140,231,Escherichia coli,WGS,Norway,24518,Human,97.19,24518,2006.0
0.22,24519,562.58748,Escherichia coli strain 112,Good,5117742,156,Escherichia coli,WGS,Norway,24519,Human,99.78,24519,2006.0
0.11,24157,562.58749,Escherichia coli strain 111,Good,4774493,209,Escherichia coli,WGS,Norway,24520,Human,99.67,24520,2006.0
0.11,2511,562.58751,Escherichia coli strain 106,Good,5488933,297,Escherichia coli,WGS,Norway,24521,Human,99.78,24521,2006.0
0.11,24522,562.58752,Escherichia coli strain 107,Good,4930384,128,Escherichia coli,WGS,Norway,24522,Human,99.78,24522,2006.0
0.0,10,562.58754,Escherichia coli strain 118,Good,5182576,181,Escherichia coli,WGS,Norway,10830,Human,99.78,24524,2006.0
0.11,24525,562.58755,Escherichia coli strain 117,Good,4988687,195,Escherichia coli,WGS,Norway,24525,Human,99.67,24525,2007.0
0.0,5698,562.58757,Escherichia coli strain 114,Good,4863845,135,Escherichia coli,WGS,Norway,24526,Human,99.78,24526,2006.0
0.55,17996,562.58758,Escherichia coli strain 115,Good,5167387,353,Escherichia coli,WGS,Norway,24527,Human,99.78,24527,2006.0
0.0,18,562.58761,Escherichia coli strain 201,Good,5273646,95,Escherichia coli,WGS,Norway,18,Human,99.78,24702,1999.0
0.0,3803,562.58762,Escherichia coli strain 121,Good,5012259,129,Escherichia coli,WGS,Norway,24703,Human,99.78,24703,2008.0
0.0,114,562.58763,Escherichia coli strain 202,Good,5176663,245,Escherichia coli,WGS,Norway,24704,Human,99.78,24704,2000.0
0.0,114,562.58766,Escherichia coli strain 203,Good,5103330,161,Escherichia coli,WGS,Norway,24704,Human,99.78,24704,2000.0
0.0,24707,562.58767,Escherichia coli strain 204,Good,4968991,105,Escherichia coli,WGS,Norway,24707,Human,99.78,24707,1999.0
0.11,202,562.65781,Escherichia coli strain CFS0344,Good,4827020,172,Escherichia coli,WGS,United Kingdom,3208,Cow,99.78,11019,2007.0
0.0,30929,562.65783,Escherichia coli strain CFS0348,Good,5266774,203,Escherichia coli,WGS,United Kingdom,30929,Cow,99.78,30929,2007.0
4.06,31297,562.65784,Escherichia coli strain CFS0349,Good,5064862,454,Escherichia coli,WGS,United Kingdom,31297,Cow,99.11,31297,2007.0
0.11,202,562.65785,Escherichia coli strain CFS0345,Good,4818206,182,Escherichia coli,WGS,United Kingdom,3208,Cow,99.44,11019,2007.0
0.0,197,562.65786,Escherichia coli strain CFS0347,Good,4997862,147,Escherichia coli,WGS,United Kingdom,197,Cow,99.78,31298,2007.0
0.33,202,562.65787,Escherichia coli strain CFS0354,Good,4673665,117,Escherichia coli,WGS,United Kingdom,25797,Cow,99.78,30931,2007.0
0.0,177,562.65788,Escherichia coli strain CFS0359,Good,4763832,117,Escherichia coli,WGS,United Kingdom,177,Cow,99.78,3779,2007.0
0.33,1938,562.65789,Escherichia coli strain CFS0355,Good,5170255,193,Escherichia coli,WGS,United Kingdom,6922,Cow,99.78,30933,2007.0
0.88,177,562.65791,Escherichia coli strain CFS0360,Good,4693519,173,Escherichia coli,WGS,United Kingdom,177,Cow,99.67,3779,2007.0
0.11,246,562.65796,Escherichia coli strain 123074,Good,4822617,117,Escherichia coli,WGS,Germany,30935,Cow,99.78,30935,
0.0,246,562.65797,Escherichia coli strain 123445,Good,4925318,154,Escherichia coli,WGS,Germany,603,Cow,99.78,30936,
0.11,246,562.65798,Escherichia coli strain E003488,Good,4806048,102,Escherichia coli,WGS,Germany,603,Human,99.55,23183,
0.11,246,562.65799,Escherichia coli strain E006910,Good,4905905,116,Escherichia coli,WGS,Germany,603,Human,99.78,23770,
0.0,246,562.65801,Escherichia coli strain R37,Good,4811033,122,Escherichia coli,WGS,Germany,603,Pig,99.78,23772,
0.11,246,562.65802,Escherichia coli strain R61a,Good,4915747,132,Escherichia coli,WGS,Germany,1708,,99.78,1708,
0.0,246,562.65803,Escherichia coli strain R107,Good,4757388,90,Escherichia coli,WGS,Germany,603,,99.78,3447,
0.0,246,562.65804,Escherichia coli strain R208,Good,4762858,90,Escherichia coli,WGS,Germany,603,,99.78,3447,
0.11,246,562.65805,Escherichia coli strain R299,Good,4914570,120,Escherichia coli,WGS,Germany,31300,Cow,99.78,31300,
0.11,246,562.65806,Escherichia coli strain R392,Good,4817280,116,Escherichia coli,WGS,Germany,32047,Cow,99.78,32047,
0.11,246,562.65807,Escherichia coli strain R423,Good,4740983,92,Escherichia coli,WGS,Germany,30935,Cow,99.78,30935,
0.11,246,562.65808,Escherichia coli strain R432,Good,4722680,100,Escherichia coli,WGS,Germany,30935,Cow,99.78,30935,
0.11,246,562.65809,Escherichia coli strain RS119,Good,4850534,124,Escherichia coli,WGS,Germany,23184,Human,99.78,23184,
0.11,246,562.65811,Escherichia coli strain RS254,Good,4795887,129,Escherichia coli,WGS,Germany,603,Human,99.78,23185,
0.0,,562.65812,Escherichia coli strain RS288,Good,4956577,139,Escherichia coli,WGS,Germany,,Human,99.78,,
0.11,,562.65813,Escherichia coli strain RS333,Good,4788286,120,Escherichia coli,WGS,Germany,,Human,99.78,,
0.11,,562.65814,Escherichia coli strain V139,Good,4739112,107,Escherichia coli,WGS,Germany,,Cat,99.78,,
0.11,,562.65815,Escherichia coli strain RS334,Good,4794157,119,Escherichia coli,WGS,Germany,,Human,99.78,,
0.0,246,562.65816,Escherichia coli strain V210,Good,4874026,166,Escherichia coli,WGS,Germany,42645,Cat,99.78,42645,
0.11,246,562.65817,Escherichia coli strain V177,Good,4839475,90,Escherichia coli,WGS,Germany,603,Dog,99.78,42646,
0.11,246,562.65818,Escherichia coli strain RS371,Good,4781635,113,Escherichia coli,WGS,Germany,603,Human,99.78,23774,
0.0,246,562.65819,Escherichia coli strain V161,Good,4866803,187,Escherichia coli,WGS,Germany,23771,Dog,99.78,23775,
0.0,18,562.135588,Escherichia coli MGL_136,Good,5307712,155,Escherichia coli,WGS,India,18,Human,100.0,27062,2020.0
0.0,99,562.135594,Escherichia coli 20200203_MGL_03,Good,5273802,167,Escherichia coli,WGS,India,192,Human,100.0,27068,2019.0
0.4,7116,562.13671,Escherichia coli strain 116,Good,4834860,98,Escherichia coli,WGS,Norway,7116,Human,100.0,7116,2015.0
0.4,70,1328437.3,Escherichia coli BIDMC 3,Good,5479839,18,Escherichia coli,WGS,USA,70,Human,100.0,36623,2009.0
0.4,70,1328439.3,Escherichia coli BIDMC 9,Good,5413189,52,Escherichia coli,WGS,USA,70,Human,100.0,36623,2009.0
0.22,24705,562.58765,Escherichia coli strain 302,Good,4971033,101,Escherichia coli,WGS,Norway,24705,Human,99.78,24705,2007.0
0.11,43489,562.65136,Escherichia coli strain AMC_172,Good,5205493,199,Escherichia coli,WGS,United Kingdom,43489,Human,99.78,43489,
0.0,3211,562.65138,Escherichia coli strain AMC_554,Good,5029027,116,Escherichia coli,WGS,United Kingdom,12541,Human,99.78,43491,
0.0,467,562.65143,Escherichia coli strain AMC_551,Good,5163324,107,Escherichia coli,WGS,United Kingdom,467,Human,99.78,42540,
0.0,107,562.65145,Escherichia coli strain AMC_552,Good,5146442,117,Escherichia coli,WGS,United Kingdom,130,Human,99.78,42490,
0.0,10,562.65146,Escherichia coli strain AMC_553,Good,5256790,174,Escherichia coli,WGS,United Kingdom,695,Human,99.78,42542,
0.11,107,562.65161,Escherichia coli strain AMC_533,Good,5177405,116,Escherichia coli,WGS,United Kingdom,130,Human,99.78,43499,
0.0,41,562.65164,Escherichia coli strain AMC_534,Good,5103332,73,Escherichia coli,WGS,United Kingdom,41,Human,99.78,41,
0.0,18,562.65166,Escherichia coli strain AMC_525,Good,5010802,75,Escherichia coli,WGS,United Kingdom,18,Human,99.78,42552,
0.0,,562.65204,Escherichia coli strain AMC_505,Good,5068988,87,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,,562.65237,Escherichia coli strain AMC_476,Good,5338843,198,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,,562.65239,Escherichia coli strain AMC_475,Good,4995478,87,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,18,562.65242,Escherichia coli strain AMC_465,Good,5302457,119,Escherichia coli,WGS,United Kingdom,18,Human,99.78,23092,
0.11,,562.65246,Escherichia coli strain AMC_456,Good,5139357,81,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,1778,562.65259,Escherichia coli strain AMC_448,Good,5074419,91,Escherichia coli,WGS,United Kingdom,23375,Human,99.78,23375,
0.0,,562.65265,Escherichia coli strain AMC_437,Good,4988274,91,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,10,562.65268,Escherichia coli strain AMC_441,Good,5402147,202,Escherichia coli,WGS,United Kingdom,139,Human,99.78,23744,
0.0,1231,562.65269,Escherichia coli strain AMC_440,Good,5095872,136,Escherichia coli,WGS,United Kingdom,23745,Human,99.78,23745,
0.0,,562.65282,Escherichia coli strain AMC_425,Good,4948619,88,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,,562.65285,Escherichia coli strain AMC_420,Good,5232921,132,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,10,562.65298,Escherichia coli strain AMC_403,Good,5112996,222,Escherichia coli,WGS,United Kingdom,164,Human,99.78,164,
0.0,,562.65302,Escherichia coli strain AMC_409,Good,5164564,116,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,5424,562.65329,Escherichia coli strain AMC_68,Good,5042052,57,Escherichia coli,WGS,United Kingdom,43252,Human,99.78,43252,
0.0,107,562.65341,Escherichia coli strain AMC_391,Good,5159091,114,Escherichia coli,WGS,United Kingdom,130,Human,99.78,43255,
0.0,1172,562.65359,Escherichia coli strain AMC_380,Good,5230481,115,Escherichia coli,WGS,United Kingdom,1172,Human,99.78,4885,
0.0,244,562.65374,Escherichia coli strain AMC_51,Good,5056326,86,Escherichia coli,WGS,United Kingdom,11516,Human,99.78,42418,
0.0,10,562.65382,Escherichia coli strain AMC_44,Good,5247580,131,Escherichia coli,WGS,United Kingdom,23124,Human,99.78,23124,
0.0,10,562.65392,Escherichia coli strain AMC_32,Good,5161928,111,Escherichia coli,WGS,United Kingdom,139,Human,99.78,43270,
0.11,,562.65423,Escherichia coli strain AMC_816,Good,5247971,227,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.22,6167,562.65427,Escherichia coli strain AMC_6,Good,5089428,82,Escherichia coli,WGS,United Kingdom,42594,Human,99.78,42594,
0.11,10,562.65438,Escherichia coli strain AMC_850,Good,5167286,144,Escherichia coli,WGS,United Kingdom,43287,Human,99.67,43287,
0.0,23747,562.65441,Escherichia coli strain AMC_843,Good,5123308,122,Escherichia coli,WGS,United Kingdom,23747,Human,99.78,23747,
0.0,,562.65446,Escherichia coli strain AMC_725,Good,4890627,96,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,107,562.65448,Escherichia coli strain AMC_724,Good,5204242,133,Escherichia coli,WGS,United Kingdom,2445,Human,99.78,23748,
0.11,,562.65457,Escherichia coli strain AMC_716,Good,5054942,84,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.22,5539,562.65459,Escherichia coli strain AMC_714,Good,4852831,189,Escherichia coli,WGS,United Kingdom,42598,Human,99.78,42598,
0.0,,562.65464,Escherichia coli strain AMC_168,Good,5072051,139,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,18,562.65479,Escherichia coli strain AMC_159,Good,5390323,121,Escherichia coli,WGS,United Kingdom,18,Human,99.78,43411,
0.0,6167,562.65497,Escherichia coli strain AMC_698,Good,5211424,91,Escherichia coli,WGS,United Kingdom,42617,Human,99.78,42617,
0.0,2,562.65499,Escherichia coli strain AMC_701,Good,5288001,145,Escherichia coli,WGS,United Kingdom,2,Human,99.78,42619,
0.0,44,562.65506,Escherichia coli strain AMC_693,Good,5235590,132,Escherichia coli,WGS,United Kingdom,44,Human,99.78,1426,
0.0,,562.65524,Escherichia coli strain AMC_682,Good,5111462,93,Escherichia coli,WGS,United Kingdom,,Human,99.67,,
0.0,,562.65536,Escherichia coli strain AMC_666,Good,5285015,173,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,43520,562.65538,Escherichia coli strain AMC_652,Good,5080775,163,Escherichia coli,WGS,United Kingdom,43520,Human,99.78,43520,
0.11,,562.65545,Escherichia coli strain AMC_660,Good,5063827,113,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,42631,562.65554,Escherichia coli strain AMC_645,Good,5196353,108,Escherichia coli,WGS,United Kingdom,42631,Human,99.78,42631,
0.0,7678,562.65558,Escherichia coli strain AMC_647,Good,5025139,56,Escherichia coli,WGS,United Kingdom,42635,Human,99.78,42635,
0.0,18,562.65559,Escherichia coli strain AMC_650,Good,5332298,99,Escherichia coli,WGS,United Kingdom,18,Human,99.78,43527,
0.11,,562.65562,Escherichia coli strain AMC_636,Good,4964613,114,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,,562.65564,Escherichia coli strain AMC_635,Good,5165567,163,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,,562.65566,Escherichia coli strain AMC_632,Good,5263117,112,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.22,107,562.65572,Escherichia coli strain AMC_626,Good,5153449,96,Escherichia coli,WGS,United Kingdom,23140,Human,99.78,23140,
0.0,10,562.65575,Escherichia coli strain AMC_624,Good,5208321,189,Escherichia coli,WGS,United Kingdom,10830,Human,99.78,42430,
0.0,304,562.65583,Escherichia coli strain AMC_612,Good,5197459,98,Escherichia coli,WGS,United Kingdom,23143,Human,99.78,23143,
0.11,,562.65594,Escherichia coli strain AMC_617,Good,4862129,130,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,107,562.65598,Escherichia coli strain AMC_604,Good,5319854,161,Escherichia coli,WGS,United Kingdom,2445,Human,99.78,42642,
0.0,,562.65611,Escherichia coli strain AMC_595,Good,5192257,152,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,107,562.65612,Escherichia coli strain AMC_591,Good,5170546,113,Escherichia coli,WGS,United Kingdom,130,Human,99.78,43542,
0.0,107,562.65613,Escherichia coli strain AMC_141,Good,5207493,138,Escherichia coli,WGS,United Kingdom,3321,Human,99.78,43543,
0.0,10,562.65631,Escherichia coli strain AMC_119,Good,5165917,137,Escherichia coli,WGS,United Kingdom,4544,Human,99.78,4544,
0.0,18,562.65633,Escherichia coli strain AMC_123,Good,5183422,117,Escherichia coli,WGS,United Kingdom,18,Human,99.78,43559,
0.0,,562.65636,Escherichia coli strain AMC_116,Good,5064923,146,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,3091,562.65638,Escherichia coli strain AMC_124,Good,5132255,71,Escherichia coli,WGS,United Kingdom,43524,Human,99.78,43524,
0.0,10,562.65673,Escherichia coli strain AMC_193,Good,5365042,193,Escherichia coli,WGS,United Kingdom,695,Human,99.78,43583,
0.0,,562.65674,Escherichia coli strain AMC_192,Good,5052619,59,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,,562.65677,Escherichia coli strain AMC_191,Good,4928018,102,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,,562.65691,Escherichia coli strain AMC_814,Good,4991764,102,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,,562.65695,Escherichia coli strain AMC_796,Good,5428160,188,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,6167,562.65704,Escherichia coli strain AMC_793,Good,5193002,127,Escherichia coli,WGS,United Kingdom,23761,Human,99.67,23761,
0.22,18,562.65725,Escherichia coli strain AMC_772,Good,5394211,168,Escherichia coli,WGS,United Kingdom,18,Human,99.78,23380,
0.0,,562.65726,Escherichia coli strain AMC_774,Good,4854146,84,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,10,562.65733,Escherichia coli strain AMC_223,Good,5247690,147,Escherichia coli,WGS,United Kingdom,164,Human,99.78,23166,
0.22,244,562.65741,Escherichia coli strain AMC_222,Good,4946153,90,Escherichia coli,WGS,United Kingdom,11516,Human,99.78,23768,
0.0,,562.65758,Escherichia coli strain AMC_210,Good,5045098,99,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,532,562.65763,Escherichia coli strain AMC_201,Good,5292620,127,Escherichia coli,WGS,United Kingdom,3918,Human,99.78,23181,
0.0,44,562.65765,Escherichia coli strain AMC_205,Good,5055826,128,Escherichia coli,WGS,United Kingdom,44,Human,99.78,23182,
0.0,3413,562.13556,Escherichia coli strain 7784,Good,5462063,2,Escherichia coli,Complete,United Kingdom,47442,,100.0,50905,2002.0
0.0,208,562.135561,Escherichia coli MGL_91,Good,4782527,127,Escherichia coli,WGS,India,208,Human,99.6,578,2020.0
0.0,548,562.135562,Escherichia coli MGL_87,Good,5222892,259,Escherichia coli,WGS,India,577,Human,100.0,15796,2020.0
0.0,18,562.135563,Escherichia coli MGL_86,Good,5298198,157,Escherichia coli,WGS,India,18,Human,100.0,410,2020.0
0.0,59,562.135567,Escherichia coli 20200622_MGL_66,Good,5036354,256,Escherichia coli,WGS,India,132,Human,100.0,191,2020.0
0.0,414,562.135569,Escherichia coli 20200203_MGL_07,Good,5009194,221,Escherichia coli,WGS,India,414,Human,100.0,27043,2019.0
0.0,5130,562.13557,Escherichia coli strain 319,Good,5567385,2,Escherichia coli,Complete,United Kingdom,5130,Human,100.0,16293,2012.0
0.0,405,562.135571,Escherichia coli MGL_125,Good,5118398,160,Escherichia coli,WGS,India,405,Human,100.0,27042,2020.0
0.0,131,562.135572,Escherichia coli MGL_123,Good,4879171,120,Escherichia coli,WGS,India,27046,Human,100.0,27046,2020.0
0.0,59,562.135573,Escherichia coli MGL_117,Good,5049959,144,Escherichia coli,WGS,India,190,Human,100.0,190,2020.0
0.1,52,562.135574,Escherichia coli MGL_116,Good,5393979,180,Escherichia coli,WGS,India,580,Human,100.0,580,2020.0
0.0,59,562.135575,Escherichia coli MGL_118,Good,5024673,171,Escherichia coli,WGS,India,102,Human,100.0,408,2020.0
0.0,405,562.135578,Escherichia coli 20200203_MGL_16,Good,5115970,230,Escherichia coli,WGS,India,405,Human,100.0,27042,2020.0
0.1,114,562.135579,Escherichia coli MGL_1560,Good,5310171,188,Escherichia coli,WGS,India,404,Human,100.0,404,2021.0
0.0,414,562.135581,Escherichia coli 20200203_MGL_06,Good,5058347,263,Escherichia coli,WGS,India,414,Human,100.0,27043,2019.0
0.0,414,562.135582,Escherichia coli 20200203_MGL_05,Good,5052395,289,Escherichia coli,WGS,India,414,Human,100.0,27043,2019.0
0.0,99,562.135584,Escherichia coli 20200203_MGL_20,Good,5220117,387,Escherichia coli,WGS,India,411,Human,99.8,411,2019.0
0.1,59,562.135586,Escherichia coli MGL_150,Good,4978704,124,Escherichia coli,WGS,India,190,Human,100.0,406,2020.0
0.4,2886,562.13559,Escherichia coli strain MRSN346647,Good,5158613,3,Escherichia coli,Complete,USA,2886,Human,100.0,2886,2016.0
0.0,246,562.135591,Escherichia coli 20200203_MGL_12,Good,5073714,160,Escherichia coli,WGS,India,2924,Human,100.0,27065,2019.0
0.0,208,562.135592,Escherichia coli MGL_131,Good,4820463,128,Escherichia coli,WGS,India,208,Human,100.0,578,2020.0
0.1,114,562.135593,Escherichia coli MGL_126,Good,5181494,171,Escherichia coli,WGS,India,404,Human,100.0,404,2020.0
0.0,33,562.64839,Escherichia coli strain AMC_350,Good,5167261,58,Escherichia coli,WGS,United Kingdom,33,Human,99.78,42361,
0.0,2405,562.64856,Escherichia coli strain AMC_966,Good,4775593,53,Escherichia coli,WGS,United Kingdom,6179,Human,99.78,42880,
0.0,467,562.64861,Escherichia coli strain AMC_964,Good,5210398,124,Escherichia coli,WGS,United Kingdom,467,Human,99.78,42371,
0.11,2428,562.64864,Escherichia coli strain AMC_960,Good,5100938,221,Escherichia coli,WGS,United Kingdom,42883,Human,99.67,42883,
0.0,104,562.64866,Escherichia coli strain AMC_958,Good,5206872,111,Escherichia coli,WGS,United Kingdom,42425,Human,99.78,42425,
0.0,11351,562.64869,Escherichia coli strain AMC_947,Good,5265440,106,Escherichia coli,WGS,United Kingdom,11351,Human,99.78,42428,
0.11,42885,562.64874,Escherichia coli strain AMC_955,Good,5110648,73,Escherichia coli,WGS,United Kingdom,42885,Human,99.78,42885,
0.0,1466,562.64875,Escherichia coli strain AMC_950,Good,5228628,86,Escherichia coli,WGS,United Kingdom,1974,Human,99.78,42886,
0.0,244,562.64883,Escherichia coli strain AMC_934,Good,5069045,85,Escherichia coli,WGS,United Kingdom,11516,Human,99.78,42889,
0.11,18,562.64884,Escherichia coli strain AMC_939,Good,5336172,138,Escherichia coli,WGS,United Kingdom,18,Human,99.78,42703,
